"newspaper","date","total_news","epu_news","epu_cat2_news","epu_cat3_news","epu_cat4_news","epu_cat5_news","epu_cat6_news","epu_cat7_news","epu_cat8_news","epu_cat9_news","epu_cat10_news","epu_cat11_news","epu_cat12_news","epu_cat13_news","epu_cat14_news"
"el_pais","07-2013",1351,20,3,0,0,12,0,0,0,0,20,8,6,15,3
"el_pais","08-2013",1484,9,0,0,0,6,2,0,0,1,9,4,1,7,1
"el_pais","09-2013",1451,12,0,0,1,4,0,0,0,2,12,6,3,9,3
"el_pais","10-2013",1856,22,2,0,0,6,1,0,0,0,22,14,7,18,5
"el_pais","11-2013",1686,19,2,2,1,5,0,1,0,0,19,11,11,17,3
"el_pais","12-2013",1853,15,2,0,0,9,1,1,0,1,15,9,5,13,6
"el_pais","01-2014",1752,21,3,0,0,10,1,1,0,0,21,12,5,16,4
"el_pais","02-2014",1861,37,6,0,0,16,0,2,1,3,37,13,11,26,5
"el_pais","03-2014",2148,22,1,0,0,6,0,0,0,0,22,16,6,19,2
"el_pais","04-2014",2401,19,1,0,2,3,2,0,0,0,19,15,8,15,5
"el_pais","05-2014",3182,31,3,0,2,8,2,6,0,4,31,16,12,25,5
"el_pais","06-2014",3907,56,13,1,2,17,2,2,2,3,56,42,19,45,13
"el_pais","07-2014",19736,334,67,11,14,112,21,48,7,21,334,222,127,267,69
"el_pais","08-2014",2553,59,17,2,1,26,1,13,1,7,59,42,25,49,14
"el_pais","09-2014",6,1,0,0,0,1,0,1,0,0,1,1,0,1,0
"el_pais","10-2014",31,1,0,0,0,0,0,1,0,0,1,1,0,1,0
"el_pais","11-2014",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","12-2014",84,2,0,0,0,2,0,0,0,0,2,0,2,0,0
"el_pais","01-2015",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","02-2015",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","03-2015",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","04-2015",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","05-2015",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","06-2015",5,1,0,0,0,1,0,0,0,0,1,1,0,1,0
"el_pais","07-2015",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","08-2015",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
